카테고리코드,카테고리명,고유번호,질문,답변
C0002,내차사기,K202112000015,차량 판매와 구매를 동시에 할 수 있나요?,"네, '타던차와 맞교환'을 신청하면 차량 판매와 구매를 동시에 할 수 있습니다.마음에 드는 차량을 선택하고 해당 차량을 판매하는 직영점에 방문예약을 해 주세요. 예약일에 타던 차를 가지고 직영점을 방문하면 K Car 차량평가사가 차량 상태를 진단하고 맞교환 견적을 알려 드립니다. 이후 차액을 결제하면 '타던차와 맞교환'이 완료됩니다."
C0002,내차사기,K202112000014,K Car 직영중고차를 구매하려면 어떻게 해야 하나요?,"K Car 직영점을 방문하거나 내차사기 홈서비스를 신청해서 구매할 수 있습니다.■ 직영점 방문① [내차사기 &gt; 차량검색]에서 마음에 드는 차량을 고르고 직영점에 방문예약을 해 주세요.&nbsp;② 예약 시간에 직영점을 방문하면 차량을 확인하고 구매할 수 있습니다.■ 내차사기 홈서비스① [내차사기 &gt; 차량검색]에서 마음에 드는 차량을 고르고 [홈서비스 바로구매]를 눌러 주세요.② 명의자 정보와 배송 정보를 입력해 주세요.③ K Car Warranty 가입 여부를 선택해 주세요.④ 현금, 카드, K Car 할부 중 원하는 결제 방식을 선택해 주세요. 여러 결제 방식을 중복 선택하여 금액을 나누어 결제할 수도 있습니다.⑤ 즉시 결제 또는 상담 후 결제를 진행해 주세요."
C0002,내차사기,K202112000016,차량을 구매할 때는 어떤 서류가 필요한가요?,"차량 구매 시 필요서류는 아래와 같습니다.■ 필요서류- 신분증, 보험가입증명서(팩스 사본 가능)- 할부 구매 시, 인감증명서 및 인감도장 1통 추가 필요- 구매자가 본인이 아닌 경우, 위임장 추가 필요"
C0002,내차사기,K202112000017,차량을 구매할 때 카드로 결제할 수 있나요?,"네, 차량가격 및 K Car Warranty 가입비를 카드로 결제할 수 있습니다. 단, 삼성카드로만 결제할 수 있으며 차량 취등록세 및 이전등록비는 현금 또는 계좌이체로만 낼 수 있습니다."
C0002,내차사기,K202112000019,신용카드 결제는 모든 카드로 할 수 있나요?,"아니요, 신용카드 결제는 삼성카드로만 할 수 있습니다. 삼성카드가 없다면 새로 발급받으셔야 합니다. 삼성카드를 발급받으려면 삼성카드 고객센터(1588-8700)로 문의하거나 아래 [삼성카드 신규 발급] 바로가기를 눌러 주세요.▶ [삼성카드 신규 발급] 바로가기(PC)▶ [삼성카드 신규 발급] 바로가기(모바일)"
C0002,내차사기,K202112000018,차량을 구매하면 현금영수증을 받을 수 있나요?,"네, 2017년 1월 1일 이후에 구매한 중고차는 현금영수증을 받을 수 있습니다. 담당 차량평가사에게 현금영수증 발행을 요청해 주세요.단, 현금영수증은 차량 명의자의 주민등록번호로 자동 발행되기 때문에 가족이나 다른 사람 명의로는 받을 수 없습니다."
C0002,내차사기,K202112000012,내차사기 홈서비스로 차량을 구매하면 명의는 언제 이전되나요?,명의이전은 환불 가능 기간이 종료된 후 진행됩니다. 환불 가능 기간 이전에 빠른 명의이전을 원하시는 경우 담당 차량평가사에게 문의해 주세요.
C0002,내차사기,K202112000009,내차사기 홈서비스에서 차량을 환불할 때 위약금이 있나요?,"아니요, 내차사기 홈서비스에는 환불 위약금이 없습니다. 차량 배송에 이미 사용된 배송비를 제외한 전액을 환불해 드립니다."
C0003,내차팔기,K202112000032,소유권 이전에 필요한 서류는 무엇인가요?,"소유권 이전에 필요한 서류는 아래와 같습니다.※ 필요서류- 자동차등록증, 자동차세완납증명서, 신분증, 인감증명서(자동차 매도용), 인감도장"
C0003,내차팔기,K202112000035,판매하는 차량의 자동차 보험은 언제 해지해야 하나요?,"차량을 판매하신 후 K Car로 소유권 이전이 완료되면 변경된 자동차등록증을 고객님께 전달드립니다.이 후, 가입하신 보험사를 통하여 보험해지를 진행하시면 됩니다.&nbsp;※ 보험사에서 증명서류 요청시 K Car 명의로 변경된 자동차등록증 사본을 제출해주세요."
C0003,내차팔기,K202112000023,"내차팔기 홈서비스를 신청하면 내 차 가격은 어떻게 산정되고, 견적 비용은 얼마가 드나요?","K Car 차량평가사가 고객님이 원하는 장소에 방문하여 차량을 꼼꼼히 진단하고, 투명한 기준에 따라 가격을 산정합니다. 방문견적 비용은 무료입니다."
C0003,내차팔기,K202112000024,내차팔기 홈서비스를 신청하면 차량평가사는 언제 방문하나요?,"고객님과 일정을 조율한 뒤 빠르면 신청 당일, 늦어도 3일 안에 방문합니다.&nbsp;"
C0003,내차팔기,K202112000025,견적을 확인한 뒤 차량 판매는 언제까지 결정해야 하나요?,7일 안에 결정해야 합니다. 중고차 시장의 특성상 차량가격이 7일 단위로 달라지기 때문입니다.7일이 지난 뒤 차량을 판매하려면 견적을 새로 받아야 합니다.
C0003,내차팔기,K202112000027,방문견적에 추가로 드는 비용이 있나요?,"아니요, K Car 내차팔기 홈서비스는 방문견적을 포함한 모든 과정이 무료입니다.K Car 차량평가사 방문 시 차량을 판매하지 않으셔도 추가 비용이나 수수료는 없습니다."
C0003,내차팔기,K202112000028,토요일이나 공휴일에도 방문 견적을 받을 수 있나요?,"토요일 방문견적의 경우, 사전에 담당평가사와 스케줄 조율 후에 이용하실 수 있습니다.따라서 토요일 방문 견적을 희망하시는 경우, K Car 고객센터(1588-5455, 서비스번호 2번) 또는 담당 평가사와 상담 후 이용 부탁드립니다.※ K Car 365 고객센터 상담운영시간월~금 : 09:00 ~ 18:00토,일,공휴일 : 09:00 ~ 18:00 (단, 1월 1일/설, 추석당일/노동절 휴무)※ 공휴일의 경우, 내차팔기 신청 및 고객센터 상담만 가능합니다"
C0003,내차팔기,K202112000022,내차팔기 홈서비스의 특징은 무엇인가요?,"1. 고객님이 원하는 장소와 시간에 맞추어 K Car 차량평가사가 방문하니까 간편합니다.2. K Car에서 내차팔기의 모든 과정을 책임지고 직접 진행하니까 안심할 수 있습니다.3. 방문부터 견적, 입금, 판매 완료까지 하루 만에 끝나므로 차량을 빠르게 판매할 수 있습니다."
C0003,내차팔기,K202603000001,내차팔기 당일매각 혜택이 있나요?,당일 매각하면 올리브영 10만원 혜택 드려요.(5만원권 2매)▶ 이렇게 드려요.당일 매각 완료 고객 대상판매대금 입금 후 최대 3일 내 발송쿠폰은 60일 내 사용 가능▶ 꼭 확인해주세요!매각이 취소되면 쿠폰은 지급되지 않아요
C0003,내차팔기,K202112000029,할부 기간이 남은 차량도 판매할 수 있나요?,"아니요, 할부 기간이 남은 차량은 판매할 수 없습니다. 할부금이 모두 납부되어야 차량 소유권을 이전할 수 있습니다."
C0003,내차팔기,K202112000034,내 명의가 아닌 차량(가족 명의 등)을 대리로 판매할 수 있나요?,"네, 차량 명의자가 아니어도 대리인 자격으로 판매할 수 있습니다. 단, 위임장 및 대리인의 신분증을 추가로 준비하셔야 합니다.&nbsp;"
C0003,내차팔기,K202112000033,내차팔기 홈서비스 이용이 제한되는 지역이 있나요?,섬 지역이나 산간 지역은 내차팔기 홈서비스가 제한되거나 늦어질 수 있습니다.
C0003,내차팔기,K202112000030,내차팔기 홈서비스로 판매한 차량은 K Car로 어떻게 인도되나요?,K Car 전문 배송기사가 방문하여 차량을 인수하고 K Car로 인도합니다.
C0004,회원정보관리,K202001000032,K Car 회원가입은 어떻게 하나요?,K Car 홈페이지 또는 앱에서 가입할 수 있습니다. 휴대폰 또는 아이핀으로 본인인증을 하고 정보를 입력하면 회원가입이 완료됩니다. 회원가입을 바로 시작하려면 아래 [K Car 회원가입] 바로가기를 눌러 주세요.&nbsp;▶ [K Car 회원가입] 바로가기&nbsp;PC▶ [K Car 회원가입] 바로가기&nbsp;MOB
C0004,회원정보관리,K202001000033,K Car 아이디/비밀번호를 잊어버리면 어떻게 해야 하나요?,"K Car 홈페이지 또는 앱의 로그인 화면에서 아이디 찾기, 비밀번호 찾기를 눌러 해결할 수 있습니다.■ 아이디 찾기- 본인 명의 휴대폰 또는 아이핀으로 본인인증을 한 후 아이디를 찾을 수 있습니다.&nbsp;■ 비밀번호 찾기- 고객님의 이름과 아이디를 먼저 확인합니다. 아이디가 확인되면 휴대폰 또는 아이핀으로 본인인증을 한 후 비밀번호를 다시 설정할 수 있습니다.※ 본인인증으로 아이디나 비밀번호를 찾지 못한 경우, K Car 고객센터(1588-5455)로 문의해 주세요.▶ [아이디·비밀번호 찾기] 바로가기&nbsp;"
C0004,회원정보관리,K202001000034,K Car 회원탈퇴는 어떻게 하나요?,K Car 홈페이지 또는 앱에서 로그인한 후 [마이페이지 &gt; 내정보 &gt; 회원탈퇴]에서 탈퇴할 수 있습니다.
C0005,금융,K202001000035,K Car에서 차량을 구매할 때 대출을 받을 수 있나요?,"네, 차량 구매 시 대출을 이용할 수 있습니다.K Car는 바이백 할부, 중고 리스, 저금리 패키지 등 다양한 금융 상품을 제공합니다. 아래 [금융] 바로가기를 눌러 자세한 상품 설명 및 필요서류를 확인해 보세요.▶ [금융 서비스] 바로가기"
C0005,금융,K202001000036,K Car에서 리스도 가능한가요?,"네, K Car 금융 서비스 중 리스프로그램 ZERO를 이용하면 K Car 직영 리스차량을 구매할 수 있습니다.자세한 내용은 K Car 고객센터 대표번호 (1588-5455)로 문의주세요.리스 구매 시 필요한 서류는 아래와 같습니다.■ 필요서류- 개인: 인감증명서 3통, 인감도장, 주민등록등본 2통, 운전면허증, 통장 사본, 소득증빙서류, 재산세과세증명서- 법인: 법인인감증명서 3통, 법인 인감도장(사용인감인 경우 사용인감계 첨부), 사업자등록증, 등기부등본, 법인재무제표, 법인대표연대보증서▶ [리스] 바로가기&nbsp;"
C0006,렌트,K202302000001,차량사고 발생 시 고객이 부담해야 하는 비용이 있나요?,"고객 과실로 인한 사고로 차량 수리비가 발생했을 때 사고 건당 국산차 최대 30만원, 수입차 최대 50만원의 면책금이 부과됩니다."
C0006,렌트,K202001000065,약정 주행거리를 조율할 수 있나요?,"네, 전화 상담으로 약정 주행거리를 조율할 수 있습니다.계약이&nbsp;종료되는&nbsp;시점의&nbsp;주행거리가&nbsp;약정&nbsp;주행거리&nbsp;이하인&nbsp;경우에는&nbsp;추가&nbsp;비용이&nbsp;없지만,&nbsp;약정&nbsp;주행거리를&nbsp;넘으면 (국산&nbsp;1km당&nbsp;100원/&nbsp;수입&nbsp;1km&nbsp;당&nbsp;300원)의&nbsp;금액이&nbsp;추가되니&nbsp;미리&nbsp;조율해&nbsp;주세요."
C0006,렌트,K202001000004,렌트를 중도 해지할 수 있나요?,"네, 중도 해지할 수 있습니다.단, 중도 해지 시 렌트 계약서 약관 제13조 중도해지 수수료에 명시된 위약금을 지급해야 합니다.위약금은 남은 렌트기간 총 렌트비의 30%로, 현금으로 지급해야 합니다."
C0006,렌트,K202306000001,긴급출동 서비스는 무엇이고 어떤 서비스를 이용할 수 있나요?,"K Car렌트 고객센터(1855-0052, 연결 2번)는 24시간 긴급출동 서비스를&nbsp;&nbsp;운영하고 있습니다.■ 차량견인 (사고나 고장으로 운행 불가시 인근 정비센터로 견인, 10km 한도)■ 비상급유 (연료 소진으로 운행 정지된 경우 1일 1회 3L이내 급유)■ 타이어 교체 (타이어 파손으로 운행 불가시, 수리시 고객 부담)■ 배터리 충전 배터리 방전으로 운행 불가시, 전기자동차 서비스불가)■ 장금장치 해제 (열쇠를 차 안에 두고 문이 잠긴 경우, 키 분실시 고객 부담)■ 긴급구난 (고장 및 사고로 운행 불가시)"
C0006,렌트,K202001000003,단순 변심으로 환불할 수 있나요?,"네, 단순 변심으로도 환불받을 수 있습니다.단, 차량이 배송된 뒤에는 왕복 배송비가 부과되며, 인수일 당일 차량을 운행한 경우에는 차량 렌트비 1일 치가 부과됩니다.수도권 기준 왕복 배송비는 평균 6~8만 원 정도이며, 정확한 금액은 실제 비용 확인 후 안내 가능합니다."
C0006,렌트,K202306000005,만 21세도 렌트가 가능한가요?,"네, 기본적으로 만 26세 기준 보험이 적용되어 있어,만 21세의 경우 운전자의 보험 연령으로 계약 조건 변경이 필요합니다.&nbsp;&nbsp;변경시 전 차종 월 렌트비 30,000원이 상향됩니다.&nbsp;"
C0006,렌트,K202001000002,렌트에 차량 정비가 포함되어 있나요?,"렌트 차량에 어떤 서비스가 적용되는지에 따라 다릅니다.렌트 시 실속형 서비스, 입고정비 서비스, 순회정비 서비스 등 세 가지 옵션 중 하나를 선택할 수 있으며, 기본적으로 실속형 서비스가 적용됩니다.실속형 서비스에는 정비가 포함되지 않으니 차량 정비가 필요하시면 계약시 입고정비 또는 순회정비 서비스로 변경해야 합니다.렌트 계약 중에는 정비 서비스를 변경할 수 없습니다.■ 실속형- 정비 서비스 포함하지 않음- 법정 검사 진행&nbsp;■ 입고정비- 소모품일체, 타이어 교환 서비스 제공- 보증수리, 고장수리, 고장수리 대차 서비스 제공- 법정 검사 진행&nbsp;■ 순회정비- 방문 순회점검 서비스 제공(4개월주기)- 소모품일체, 타이어 교환 서비스 제공- 보증수리, 고장수리, 고장수리 대차 서비스 제공- 법정 검사 진행서비스 관련 자세한 내용은 K Car 고객센터(1588-5455)에서 확인할 수 있습니다."
C0006,렌트,K202306000002,운전자 추가 등록은 어떻게 하나요?,운전자 추가등록은 K Car 고객센터(1588-5455)에서 할 수 있습니다.추가 운전자는 최대 2명까지 가능하며&nbsp;&nbsp;사고 발생 시 보험적용을 받을 수 있습니다. (최대 1회)&nbsp;
C0006,렌트,K202306000004,계약시 현금영수증 발행이 가능한가요?,렌트카 업종은 현금영수증 발행을 할 수 없는 업종입니다.법인 계약에&nbsp;&nbsp;한해 세금계산서 발행이 가능합니다.&nbsp;&nbsp;
C0006,렌트,K202306000003,월 렌트비는 어떤 방식으로 납부가 가능한가요?,"CMS, 자동이체, 카드결제 방식으로 납부가 가능합니다."
C0006,렌트,K202001000046,렌트가 대출한도 및 신용점수에 영향을 주나요?,"아니요, K Car 렌트는 개인 및 사업자의 신용점수에 영향을 주지 않습니다. 렌트 차량은 회계상 자산이 아니기 때문에 개인 및 사업자의 대출한도에도 영향이 없습니다."
C0006,렌트,K202001000005,계약 기간을 선택할 수 있나요?,"네, 선택할 수 있습니다. 렌트 계약기간은 차종에 따라 다르며, K Car 고객센터(1588-5455)에서 전화 상담을 통해 선택할 수 있습니다.■ 중고차렌트: 12~48개월■ 신차렌트: 24~60개월"
C0006,렌트,K202103000002,법인 명의로 여러 차량을 동시에 렌트할 수 있나요?,"네, 법인 명의로 여러 차량을 동시에 렌트할 수 있습니다. 견적 및 렌트 조건은 전화로 상담해 드리고 있습니다. K Car 법인전문 고객센터(1855-0052)로 문의해 주세요."
C0006,렌트,K202001000045,"보증금/선납금을 납부한 뒤, 월 렌트비 외에 추가되는 비용이 있나요?","월 렌트비 외에 추가되는 비용은 없습니다.보험료, 자동차세, 정비 비용(선택 항목) 등 부대 비용은 월 렌트비에 포함됩니다."
C0006,렌트,K202001000028,결제를 마친 뒤 차량은 어떻게 받을 수 있나요?,"결제를 마치면 고객님의 집 앞까지 차량을 무료로 배송해 드립니다.단, 섬 지역과 산간 지역은 배송비가 별도로 부과될 수 있습니다."
C0006,렌트,K202306000006,제주도 지역도 렌트가 가능한가요?,네 가능합니다. 별도의 배편 비용이 추가됩니다.
C0006,렌트,K202001000069,교통사고가 나거나 차량이 고장 나면 어디로 연락해야 하나요?,"K Car 정비 부서(1855-0052)로 연락해 주세요. 365일 24시간 언제든 사고 및 고장 접수를 하며, 각종 사항을 안내해 드리고 있습니다. 면책금은 국산차 최대 30만원, 수입차 최대 50만원입니다.(부가가치세 별도)"
C0006,렌트,K202103000001,외국인도 렌트를 이용할 수 있나요?,"네, 외국인도 심사 결과에 따라 렌트를 이용할 수 있습니다. 자세한 조건과 필요서류는 아래와 같습니다.■ 렌트 조건- 만 26세 이상, 1년 이상 운전 경력 보유자- 만 21세 이상 계약 가능(렌트비 조건이 달라질 수 있음)■ 필요서류- 외국인등록확인서(외국인거소증, 비자 등)- 운전면허증(국내 운전면허증)- 소득 증빙서류(재직증명서, 원천징수영수증, 사업자등록증 등)"
C0006,렌트,K202103000003,계약 기간 중간에 렌트 차량을 변경할 수 있나요?,"네, 약정된 계약 기간 중에 차량을 변경할 수 있지만 중도해지 위약금이 발생할 수 있습니다."
C0006,렌트,K202001000068,차량등록증을 받으려면 어떻게 해야 하나요?,렌트 차량의 차량등록증은 K Car가 보관하며 필요시 차량등록증 사본을 전달해 드립니다. 렌트카 고객센터(1588-5455)로 문의해 주세요.
C0006,렌트,K202001000001,차량 보험의 적용 범위는 어떻게 되나요?,"보험 적용 범위는 아래와 같습니다.■ 개인/개인사업자- 계약자와 배우자 및 계약자와 배우자의 직계가족,형제자매■ 법인사업자- (임직원 특약을 선택하는 경우) 소속 임직원 및 고용 기사- (임직원 특약을 선택하지 않는 경우) 소속 임직원 및 고용 기사, 임원의 직계가족"
C0006,렌트,K202001000027,보증금 방식과 선납금 방식은 무엇이 다른가요?,"보증금과 선납금은 모두 차량을 구매할 때 초기에 부담하는 항목이라는 점에서 비슷하지만, 렌트 기간이 끝난 뒤 돈을 돌려받을 수 있는지 없는지가 다릅니다. 보증금은 돌려받을 수 있고, 선납금은 돌려받을 수 없습니다.■ 보증금: 렌트기간이 끝나면 납부한 보증금은 전액 환급됩니다.■ 선납금: 렌트비 중 일부를 선납금으로 내며, 계약이 끝나도 환급되지 않습니다."
C0006,렌트,K202001000029,운전자 요건이 어떻게 되나요?,"기본적으로 만 26세 이상이고 운전 경력이 만 1년 이상인 운전면허 소지자라면 렌트가 가능합니다.만 26세 미만 운전자는 별도 심사를 거쳐 렌트가 가능한지 확인해 드리며, 이 경우 보험 연령에 따른 별도 견적을 산출하므로 렌트비는 달라질 수 있습니다."
C0006,렌트,K202001000066,렌트 심사에 필요한 서류는 무엇인가요?,"개인/개인사업자와 법인사업자의 필요서류가 다릅니다. 렌트 심사에 필요한 서류는 각각 아래와 같습니다.■ 개인/개인사업자- 운전면허증 사본, 신용정보동의서- 심사 결과에 따라 소득 증빙자료 제출을 요청할 수 있음■ 법인사업자- 사업자등록증 및 재무제표- 심사 결과에 따라 대표이사 신분증 사본, 대표이사 공동임차인 지정을 요청할 수 있음"
C0008,보증서비스,K202203000003,K Car Warranty 보증수리는 어떻게 신청하나요?,"KW보증서비스는 K Car홈페이지(앱) 및 고객센터를 통해 온/오프라인 수리접수 가능 합니다.① K Car홈페이지(앱) 온라인 수리접수&nbsp;고객지원 &gt; 보증서비스 수리접수 &gt; 회원 or 비회원인증 &gt; 수리접수 완료 &gt; 정비업체와 일정 조율 후 입고*보증서비스 수리접수는 KW상품 이용 기간 內 차량명의자(공동명의자 포함)에 한해 이용 가능&nbsp;② K Car고객센터 유선 수리접수&nbsp;고객센터(☎1588-5455/3.보증수리 문의) &gt; 상담원을 통한 보증서비스 수리접수 &gt; 수리접수 완료 &gt; 정비업체와 일정 조율 후 입고[K Car고객센터 운영시간] 월~토요일 09:00~18:00, 일요일 및 법정공휴일: 휴무③ K Car 채팅 상담원을 통한 1:1 수리접수K Car 웹/앱 챗봇 &gt; 상담원과 1:1 톡상담 &gt; 채팅 상담원을 통한 보증서비스 수리 접수[K Car채팅 상담 가능시간] 월~금요일 09:00~17:40, 일요일 및 법정공휴일: 휴무*수리접수 후 정비업체와 필히 일정 조율 후 입고해 주셔야 합니다.*지정정비소를 방문하지 않거나, 신청 전 먼저 수리한 뒤 금액을 청구하면 보상이 어려울 수 있으니 주의해 주세요."
C0008,보증서비스,K202001000044,K Car Warranty가 무엇인가요?,"K Car Warranty란 구매하신 차량의 보증수리 기간을 최대 2년까지 연장해 드리는 K Car만의 품질보증연장 서비스입니다.차량에서 가장 중요한 엔진, 변속기는 물론 각종 일반 부품까지 폭넓게 보증해 드립니다.보증 기간에 따라 KW3, KW6, KW12, KW24 등 네 가지 상품 중 하나를 선택할 수 있습니다."
C0008,보증서비스,K202001000047,K Car Warranty 가입은 어떻게 하나요?,K Car 직영중고차를 구매할 때 K Car Warranty에 가입할 수 있습니다. 차량 구매를 마친 후에는 별도로 가입할 수 없으니 참고해 주세요.
C0008,보증서비스,K202203000001,K Car Warranty 가입비는 얼마인가요?,"K Car Warranty 가입비는 국산차, 수입차, 차종별로 다릅니다. 자세한 가입비는 아래 [K Car Warranty] 바로가기를 눌러 확인해 주세요.▶ [K Car Warranty] 바로가기 PC▶ [K Car Warranty] 바로가기&nbsp;MO"
C0008,보증서비스,K202203000004,K Car Warranty로 보증수리를 받을 수 없는 부품이 있나요?,"엔진/미션/일반부품에 해당되지 않는 소모품류, 트림계통, 전기/하이브리드/특정 전용부품 등은 보증에서 제외됩니다."
C0008,보증서비스,K202203000002,K Car Warranty 보증수리를 받을 때 자기부담금은 얼마인가요?,"K Car Warranty 가입 후 보증수리를 받는 경우, 수리 1회당 자기부담금은 국산차 5만원, 수입차 20만원입니다."
C0007,기타,K202001000038,차량 구매 후 배송비는 무료인가요?,"직영점에서 구매, 내차사기 홈서비스로 구매 등 차량 구매 방식과 상관없이 차량 구매 후 추가되는 배송비는 고객님이 부담하셔야 합니다. 배송비는 배송지에 따라 다릅니다.&nbsp;&nbsp;"
C0007,기타,K202001000037,차량 주요 키워드 중 '1인소유'란 무엇인가요,제조사 출고 이후 차량 명의자가 한 번도 바뀌지 않은 차량을 '1인소유' 차량이라고 합니다.
C0007,기타,K202001000042,차량 구매 후 번호판을 변경할 수 있나요?,"네, 중고차 구매 후 소유권 이전이 완료되면 차량 번호판을 변경할 수 있습니다. 번호판을 변경하시려면 이전등록 후 60일 안에 가까운 시군구청에 방문하여 자동차 변경등록 신청서를 제출해 주세요."
