Category,Question,Answer,Site
방문평가/데이터평가,"방문평가는 어떻게 진행되나요?
연장하다","전문 평가사가 고객님이 지정한 장소로 방문하여 차량 상태를 점검합니다.
실차 검수를 통해 차량의 사고 여부와 상태를 확인하고, 차량 내/외부 사진 촬영을 진행합니다.
소요시간은 약 30분입니다.",기아자동차
방문평가/데이터평가,"방문평가 후 판매 취소가 가능한가요?
연장하다",[마이페이지 > 견적삭제]에서 취소하실 수 있습니다.,기아자동차
방문평가/데이터평가,"방문평가 신청 후 데이터 평가로 변경 가능한가요?
연장하다","평가사 배정 전 데이터 평가로 변경 가능합니다.
배정 이후에는 방문 확정된 평가사 또는 고객센터(080-200-2000)로 연락 부탁드립니다.",기아자동차
방문평가/데이터평가,"데이터 평가는 어떻게 진행되나요?
연장하다",고객님이 직접 촬영한 차량 사진(최소 11장)과 보험개발원 데이터를 기반으로 평가가 진행됩니다.,기아자동차
방문평가/데이터평가,"데이터 평가 재촬영 요청을 받았는데, 업로드 기간이 지난 경우에는 어떻게 하나요?
연장하다","재촬영 요청일 기준 7 영업일 이내 사진을 업로드 해주셔야 하며, 기간이 만료되면 견적 요청이 자동으로 취소됩니다.
재진행을 원하시는 경우 처음부터 견적 요청해주셔야 합니다.",기아자동차
방문평가/데이터평가,"차량 사진을 삭제할 수 있나요?
연장하다",사진 촬영 후 임시 저장과 삭제 모두 가능합니다.,기아자동차
탁송,"탁송일정과 장소 변경이 가능한가요?
연장하다","탁송 배정일 직전 영업일 12시 이전 또는 탁송기사 배정 전까지 변경 가능합니다.
탁송일정 및 장소 변경이 필요한 경우 기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의해주시기 바랍니다.",기아자동차
탁송,"탁송 가능 시간은 어떻게 되나요?
연장하다","기아 인증중고차의 탁송 운영 시간은 월요일부터 금요일, 오전 9시부터 오후 6시까지입니다.",기아자동차
탁송,"탁송 전 서류를 다 준비하지 못한 경우 어떻게 하나요?
연장하다","탁송 당일에 제출 필요한 서류를 준비하지 못하셨거나, 탁송기사에게 전달하지 못하셨다면
기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의해주시기 바랍니다.",기아자동차
탁송,"탁송 시 차량 계약자만 인도가 가능한가요?
연장하다","계약자가 지정한 대리인도 차량 인도가 가능합니다. 탁송 정보 입력 시 인도자 정보(인도자 성함, 연락처)를 입력해주시기 바랍니다.
※ 탁송 전 인도자 정보 변경이 필요한 경우 기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의해주시기 바랍니다.",기아자동차
탁송,"탁송 신청 후에 탁송 인수자 정보 변경이 가능한가요?
연장하다","인수자 정보는 홈페이지에서 변경이 어렵습니다.
변경이 필요할 경우 기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의해주시기 바랍니다.",기아자동차
탁송,"탁송은 언제부터 가능한가요?
연장하다","결제완료 후 탁송일 지정이 가능합니다.
탁송 일정은 결제완료일 기준 2 ~ 7일 영업일 이내 선택 가능합니다.",기아자동차
탁송,"탁송 일자 지정 후 취소 시 비용 부담이 있나요?
연장하다","탁송 배정일 직전 영업일 12시 이후 또는 탁송 기사 배정 이후 탁송 취소 시에는 비용이 부과될 수 있습니다.(탁송 비용 고객 부담으로 적용)
일자 변경이 필요할 경우 기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의해주시기 바랍니다.",기아자동차
탁송,"차량구매 후 탁송서비스는 어떤 방식으로 제공되나요?
연장하다",탁송 기사가 차량을 직접 운행해서 전달하는 로드 탁송 방식으로 진행됩니다.,기아자동차
탁송,"평택/용인 직영점에 방문하여 직접 차량을 가져갈 수 있나요?
연장하다","직영점 방문 상담 예약 후 직접 출고가 가능합니다.
기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의해주시기 바랍니다.",기아자동차
명의이전,"차량 명의이전은 고객이 직접 진행 하나요?
연장하다","명의 이전은 기아 인증중고차 대행으로만 진행되며, '내차사기' 서비스 명의이전에 한해 차량 한 대당 대행 비용 27,500원(VAT포함)이 발생됩니다.",기아자동차
명의이전,"명의이전은 언제 진행되나요?
연장하다","■ 내차팔기 명의이전 : 명의 이전에 필요한 서류 누락이 없을 경우 차량 대금 지급일로부터 평균 2 ~3 영업일 소요됩니다.
단, 서류 누락, 미납세금, 압류, 저당으로 명의이전 진행이 불가한 경우 별도로 연락을 드릴 예정입니다.
■ 내차사기 명의이전 : 구매확정(인수일 +8일 자연일 00시)후 절차가 진행됩니다.
명의이전 소요기간 관련 상세 문의는 기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의해주시기 바랍니다.",기아자동차
명의이전,"명의이전을 위한 본인 확인은 어떻게 진행되나요?
연장하다","기아 인증중고차 명의이전 대행업체에서 온라인 이전 등록을 위한 연락을 드릴 예정입니다.
휴대폰 본인 인증 완료 후 명의이전 진행이 가능합니다.",기아자동차
명의이전,"이전등록비도 카드로 결제가 가능한가요?
연장하다","이전등록비(취득세, 인증지대, 명의이전대행비)는 현금으로만 결제 가능합니다.",기아자동차
명의이전,"취득세 차액은 어떻게 환불 받나요?
연장하다","명의이전 완료 후 차량 구매 시 입력한 계좌로 취득세 차액은 자동으로 환불됩니다.
※ 등록된 계좌 변경이나 계약자 명의 외 다른 계좌로의 환불은 불가합니다.",기아자동차
명의이전,"차량 구매 시 납부할 세금은 어떤 것이 있나요?
연장하다","차량 구매 시 납부하는 세금은 취득세, 공채 매입비, 인증지대가 있습니다.
- 취득세: 차종에 따라 차이가 있으며 통상 차량 가격의 4~7%를 납부합니다.
- 공채 매입비: 차량 등록 시, 각 지자체에서 발행한 채권을 매입하도록 법으로 규정되어 있습니다. 구입 초기 비용 부담을 덜기 위해 할인율을 적용하여 즉시 매도하는 공채 할인 방식을 이용합니다.
- 인증지대: 차량의 명의이전 시 양도계약서에 부착 필요한 수입인지, 수입증지 구매 비용이 부과됩니다.",기아자동차
명의이전,"제주도 지역인데 차고지 증명서는 언제 제출해야 하나요?
연장하다","등본 상 주소지가 제주도인 고객님 중 차고지 증명서 제출 대상의 경우 명의이전 시 차고지 증명서 제출이 필수로 진행되어야 합니다.
만약 차고지 증명서가 준비되지 않았다면 명의이전이 어려울 수 있으니 사전에 확인해 주시기 바랍니다.
▷ 차고지증명서 사이트 : https://parking.jeju.go.kr/main.cs",기아자동차
명의이전,"명의이전 시 지방세(취득세)감면 구비 서류는 무엇인가요?
연장하다","명의이전 시 지방세(취득세) 감면을 위해 필요한 서류를 아래와 같이 안내 드립니다.
서류는 명의이전 전까지 준비가 필요합니다.",기아자동차
명의이전,"명의이전 시 유의사항은 무엇인가요?
연장하다","구매하신 차량의 명의이전은 차량 잔금납부일로부터 15일 이내 완료 되어야 합니다.
기아 인증중고차에서 위탁한 명의이전 대행업체가 온라인으로 이전등록을 진행하고, 진행 과정에서 고객님의 본인인증이나 유선 동의가 반드시 필요합니다.
고객 부재중으로 이전 등록이 불가한 경우 법정 기간 경과 시, 지자체에서 과태료를 부과할 수 있습니다.
▷ 내차사기 명의이전 위탁사 : 다코스 1688-6112",기아자동차
내차사기,"한 번에 두 대 이상의 차량 주문이 가능한가요?
연장하다",기아 인증중고차의 '내차사기' 서비스 이용 시 동시에 최대 2대까지 구매 가능합니다.,기아자동차
내차사기,"내차사기 서비스 이용 절차가 어떻게 될까요?
연장하다","기아 인증중고차의 내차사기 서비스는 아래와 같은 절차로 진행됩니다.
1. 관심 매물 탐색
2. 매물 정보 확인 후 구매하기 클릭
3. 구매자 정보 입력 및 결제방식 선택
4. 탁송일자 선택 및 자동차 보험 서류 업로드 후 전자서명을 통해 계약 작성
5. 차량인수 후 구매확정 시 명의이전 진행
자세한 내용은 아래의 링크를 확인해 주세요.
▷기아 인증중고차 내차사기 프로세스 : https://cpo.kia.com/news/detail/?id=345 (바로가기 링크)",기아자동차
내차사기,"공동명의로 차량을 구매할 수 있나요?
연장하다","공동명의로 차량 구매 가능합니다.
공동명의자의 본인인증(휴대폰 본인 인증)이 필요하며, 공동명의자의 본인인증(휴대폰 본인 인증)이 불가능한 경우
기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 문의해주시기 바랍니다.",기아자동차
내차사기,"기아 인증중고차에서 판매하는 차량은 무사고 차량이 맞나요?
연장하다",기아 인증중고차는 자동차관리법에서 규정하는 무사고 차량만 판매합니다.,기아자동차
내차사기,"자동차 보험 서류는 언제까지 업로드해야 하나요?
연장하다","보험 서류는 탁송 예정 전 영업일 16시까지 업로드 해야 합니다.
단, 인수지가 제주도인 경우는 탁송 예정일로부터 2 영업일 전 16시까지 업로드 하시면 됩니다.",기아자동차
내차사기,"공동명의로 차량 구입 시 공동명의자의 카드로 결제가 가능한가요?
연장하다","기아 인증중고차는 공동명의로 차량 구입이 가능하나, 주계약자 명의의 카드로만 결제가 가능합니다.",기아자동차
내차사기,"차량 구매 시 NFC 카드키가 제공되나요?
연장하다",NFC 카드키는 모든 차량에서 제거 후 출고됩니다.,기아자동차
내차사기,"구매 전 총 비용 계산에서는 취득세가 0원이었는데, 실제 잔금 결제 시 취득세 결제가 진행됐습니다.
연장하다","결제 시 일괄 7%의 취득세를 계산하여 결제가 진행됩니다.
홈페이지의 총 비용 계산하기는 차종별 평균 수준의 취득세를 계산한 금액입니다.
결제가 되더라도 명의이전 후 차액은 고객님의 계좌로 환불해 드립니다.",기아자동차
내차사기,"블랙박스가 장착된 차량을 구매했습니다. SD카드가 제공되나요?
연장하다","블랙박스의 SD카드는 제거 후 탁송됩니다.
SD카드는 별도 구입 후 장착 필요합니다.
※ 차량 출고 시 장착된 옵션이 아닌 사용자가 추가 장착한 블랙박스 제품은 인증 항목에 미포함",기아자동차
내차사기,"내차사기 취소 및 환불 시 타인 계좌로 입금이 가능한가요?
연장하다",내차사기 계약서 작성 시 고객님께서 입력하신 본인 명의 계좌로만 입금이 가능합니다.,기아자동차
내차사기,"차량 구매 시 제공되는 필수 지급품은 무엇인가요?
연장하다","소화기, 비상 삼각대, 타이어 임시수리키트(TMK)가 제공됩니다.",기아자동차
내차사기,"차량 사용 설명서는 어디서 볼 수 있나요?
연장하다","차량의 상세 사용 설명은 디지털 차량설명서(https://ownersmanual.kia.com/main) 페이지를 통해 확인하실 수 있습니다.
기아 인증중고차에서는 훼손, 오염 등의 우려로 지류 차량 설명서를 제공하지 않고 있습니다.",기아자동차
내차사기,"차량 구매 후 타보기 기간 동안(명의이전 전)에 발생한 교통위반 범칙금 또는 고속도로 통행료 미납은 어떻게 처리가 되나요?
연장하다","명의이전 전에 발생한 교통위반 범칙금(속도위반, 주차위반 등), 고속도로 하이패스 미납은 고객 부담입니다.
교통위반 범칙금 및 통행료 미납이 확인될 경우, 고객센터에서 별도 안내 전화를 통해 납부 요청드리게 됩니다.",기아자동차
내차사기,"제주도는 차량 탁송이 어떻게 되나요?
연장하다","제주도는 탁송 시, 선적 배송에 따른 다음과 같은 특성이 있습니다.
1. 인수일 기준 2 영업일 전 16시까지 보험가입 서류 제출 필요
예) 인수일이 5/25일(금)일 경우, D-2일인 5/23(수) 16시까지 보험가입 서류 제출
2. 자동차 보험의 효력 발생 일자는 인수일 전일 00시부터 시작
예) 인수일이 5/25일(금)일 경우, D-1일인 5/24(목) 00시부터 보험 효력 발생
3. 도로 상황, 선박사의 선적/하적 지연, 기상 상황 등의 변수에 따라 탁송 시점이 변경될 수 있음
4. 선박 일정으로 월요일 탁송은 불가능
5. 명의이전을 위해 일부 차량은 차고지 증명서가 필요
※ 차고지증명서 사이트 : 제주특별자치도 차고지 증명제
그 외 추가 문의사항은 기아 인증중고차 고객센터(080-200-2000 > AI상담사연결(0번) > 인증중고차)로 연락 부탁드립니다.",기아자동차
내차사기,"자동차 구입 시 보험가입은 어떻게 하나요?
연장하다","자동차 구입 시 책임보험 가입이 의무화 되어있습니다.
보험의 효력 발생은 탁송 출고일부터 적용이 필요합니다. (제주도 탁송 제외)
보험 가입 서류 업로드 시 보험 가입증명서 또는 보험증권만 승인이 가능하며, 명의이전 시점에 차량 보험 가입여부가 확인되어야 명의이전이 가능하니 최소 15일 이상의 보험 가입을 권장 드립니다.",기아자동차
환불/취소,"차량 주문을 취소하고 싶은데 가능한가요?
연장하다",기아 인증중고차 홈페이지 [마이페이지 > 자세히 보기 > 주문 취소]에서 취소 가능합니다.,기아자동차
환불/취소,"계약금 결제 취소 또는 주문 취소 후 환불은 언제 완료되나요?
연장하다","결제 수단에 따라 환불 기간이 다를 수 있습니다.
·현금 : 주문 정보와 동일한 계좌로 당일 혹은 영업익일에 입금
·카드 : 카드 취소 후 3 ~ 5 영업일 소요(카드사에 따라 상이)
·기아 멤버스 포인트 : 당일 재적립",기아자동차
환불/취소,"타보기 기간 동안 차량 유지 관리 비용도 환불이 되나요?
연장하다","차량 인도 후 고객이 임의로 추가한 장착품 및 차량에 투입된 비용(블랙박스 장착 비용, 썬팅 비용, 타이어 교체 비용, 각종 배터리 교체 비용, 각종 오일 교체 비용, 광택 및 세차 비용, 주유비 등)에 대해서는 환불이 불가합니다.",기아자동차
환불/취소,"단순변심으로 환불을 신청할 경우 전액 환불이 가능한가요?
연장하다","단순변심으로 환불을 신청한 경우, 왕복 탁송비, 자동차 보험료 및 금융 상품 이용 취소로 발생하는 수수료, 그 외 차량에 투입된 비용 등은 환불이 불가합니다.",기아자동차
환불/취소,"환불 시 주행 거리 관련 제약이 있나요?
연장하다","차량 인도 후, 환불 가능 주행거리는 200km 이내로 제한됩니다.",기아자동차
결제(할부금융),"오토할부와 오토론의 차이점은 무엇인가요?
연장하다","1. 오토할부(현대캐피탈)는 금융사-기아 인증중고차-고객님 간의 3자 계약으로 고객님이 구매확정을 완료하시면 대출이 실행되게 됩니다. 보다 자세한 내용은 해당 금융사로 연락해 주시기 바랍니다.
2. 오토론(신한카드)는 금융사-고객님과의 양자 간 계약으로 고객님이 '직접' 입금받고, 차량대금을 결제해야 합니다.
(현대캐피탈 02-2674-4095 / 신한카드 1688-7474)",기아자동차
결제(할부금융),"결제는 꼭 일시불만 가능한가요?
연장하다","전액 일시 결제뿐만 아니라, 계약금 선 결제 후 차액 결제도 가능합니다.
전액 일시 결제의 경우, 현금 일시 입금 방식과 카드, 현금의 분할 결제 방식을 선택할 수 있습니다.
계약금 선 결제 후 차액 결제의 경우, 계약금 30만원 선 결제 후 3 영업일 이내 잔금 결제가 필요합니다.
결제시 기아 멤버스 포인트도 사용 가능하며 5년 간 100만 포인트 한도 내에서 사용 가능합니다.",기아자동차
결제(할부금융),"외국인도 금융서비스를 이용해서 차량을 구매할 수 있나요?
연장하다","외국인의 경우 금융서비스 이용이 어렵습니다. 자세한 내용은 해당 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 02-2674-4095/ 신한카드 1688-7474)",기아자동차
결제(할부금융),"카드 결제 시 본인 명의의 카드로만 결제가 가능한가요?
연장하다",카드 결제는 주 계약자 명의 카드에 한해 결제가 가능합니다.,기아자동차
결제(할부금융),"대출금리 및 대출금 납입일 변경은 어떻게 해야하나요?
연장하다","대출금리 확인 및 대출금 납입 관련 문의는 금융서비스를 신청한 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 02-2674-7095 / 신한카드 1688-7474)",기아자동차
결제(할부금융),"결제 가능한 카드사를 알고 싶어요.
연장하다","기아 인증중고차에서 결제 가능한 카드사는 총 9개입니다.
(현대, 국민, 삼성, 신한, 비씨, 롯데, 하나, 농협, 우리카드)
※ 카드사별 최대 가능 할부 개월 및 무이자 적용 여부는 상이할 수 있습니다.",기아자동차
결제(할부금융),"할부 신청 및 차량 인도 후 차량 명의를 변경하거나 공동명의자를 추가할 수 있나요?
연장하다","할부 신청 후 명의자 추가 및 명의자 정보 변경이 어려우니 유의 바랍니다. 자세한 내용은 해당 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 02-2674-4095 / 신한카드 1688-7474)",기아자동차
결제(할부금융),"현금영수증 발행이 가능한가요?
연장하다",주 계약자의 휴대 전화번호로 차량 인도일에 자동 발행됩니다.,기아자동차
결제(할부금융),"운전면허증이 없는데 할부실행이 가능한가요?
연장하다","운전면허증이 없는 경우 금융할부 실행이 어려울 수 있습니다. 자세한 내용은 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 02-2674-4095 / 신한카드 1688-7474)",기아자동차
결제(할부금융),"가상 계좌 번호로 차량 대금을 나눠 입금할 수 있나요?
연장하다","현금 결제(가상 계좌 입금)를 진행하실 경우 안내받으신 가상 계좌 번호로 한번에 전액 입금해 주셔야 합니다.(분할 입금 불가)
가상계좌의 예금주는 계약자명으로 자동 발급되며, 가상계좌의 실제 입금자명은 계약자명과 달라도 무관합니다.
※ 입금 전 은행을 통해 고객님의 1일, 1회 이체 한도를 사전에 확인해주세요.",기아자동차
결제(할부금융),"간편 결제를 통한 구매도 가능한가요?
연장하다","현재 간편결제(네이버페이, 카카오페이, 삼성페이 등)를 통한 결제는 지원되지 않습니다.",기아자동차
결제(할부금융),"공동명의자도 금융할부 이용이 가능한가요?
연장하다","기아 인증중고차 제휴 금융 할부(현대캐피탈, 신한 오토론)는 주명의자와 금융할부 주계약자가 동일한 경우에만 이용이 가능합니다.
타 금융서비스를 이용하시는 경우 해당 금융사로 문의해 주시기 바랍니다.",기아자동차
결제(할부금융),"금융할부 이용 시 오프라인으로 진행하고 싶은데 가능한가요?
연장하다","기아 인증중고차 금융할부는 비대면 온라인으로 진행하실 수 있습니다.
정확한 내용은 해당 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 02-2674-4095 / 신한카드 오토론 1688-7474)",기아자동차
결제(할부금융),"차량구매 취소 및 대출을 취소하고 싶습니다. 어떻게 해야 되나요?
연장하다","현대캐피탈 오토할부의 경우 구매확정 시 할부도 확정됩니다.
환불을 진행할 경우 대출은 진행되지 않고 별도 절차 없이 자동으로 취소가 진행됩니다.
신한카드 오토론의 경우 구매취소와 별개로 대출취소는 신한카드사로 연락해 주시기 바랍니다.
(신한카드 1688-7474)",기아자동차
결제(할부금융),"2대를 동시에 구매하고 있는데 2대 모두 금융서비스를 이용할 수 있나요?
연장하다","금융사의 심사 결과에 따라 다릅니다. 자세한 내용은 선택하신 금융사로 문의해 주시기 바랍니다.
(현대캐피탈 : 02-2674-4095) / 신한카드 오토론 : 1688-7474)",기아자동차
보증,"기아 인증중고차 구매 시 어떤 보증 혜택을 받을 수 있나요?
연장하다","기아 인증중고차에서는 1년/2만km의 보증 혜택을 제공합니다.
해당 기간 신차에 준하는 보증 혜택을 받을 수 있습니다.
신차 보증 기간이 1년/2만km 이상 남았을 경우는 신차 보증기간을 적용하며,
신차 보증기간이 1년/2만km 미만으로 남았을 경우는 부족분 만큼 기아 인증중고차 보증 연장 혜택을 적용받으실 수 있습니다.",기아자동차
보증,"인증서비스 적용 범위는 어떻게 되나요?
연장하다","기아 인증중고차의 인증서비스 적용 범위는 아래와 같습니다.
- 엔진, 변속기, 제동장치 및 기아 인증중고차에서 정한 일반부품 대상 1년/2만km 내 인증서비스 제공
- 소모품 (타이어, 각종 오일 류, 패드, 부동액, 배터리), PB 제품(차량 출고 시 장착된 옵션 외 사용자가 추가 장착한 옵션), 커스터마이징은 인증서비스 제외
- 외장 일체, 페인트, 판금, 부식, 안전기능상 영향 없는 감성적 불만 (이음, 잡음, 진동, 냄새, 가죽시트 이염, 시트 사용감 등) 제외",기아자동차
